Experiment Name,Kernel Version,CPU Model,Num. of CPUs,Memory System,Boot Type,Workload,Input Size,Sim. Status Result,Host Time,Final Tick,Host Instruction Rate,Host Memory Usage,Host Opcode Rate,Host Second,Host Tick Rate,Simulation Frequency,Simulated Instructions,Simulated Opcodes,Simulated Seconds,Simulated Ticks,Number of Cycles,Number of Floating Point Instructions,Number of Integer Instructions,Number of Load Instructions,Number of Store Instructions,Number of Memory References,Number of Integer ALU,Number of FP ALU,Number of SIMD ALU,Number of SIMD Crypto,Total Cache Misses,Avg Read Queue Length
Linux Tests,vmlinux-4.9.186,DerivO3CPU,8,MESI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,8,MESI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.9.186,DerivO3CPU,8,MESI,Init,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.9.186,DerivO3CPU,4,MESI,Init,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.4.186,DerivO3CPU,8,MESI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,2,MI,Init,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.4.186,DerivO3CPU,1,Classic,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,4,MI,Init,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.9.186,DerivO3CPU,1,MESI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,2,MESI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,2,Classic,Init,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.4.186,DerivO3CPU,1,MESI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.9.186,DerivO3CPU,1,MESI,Init,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.19.83,DerivO3CPU,1,Classic,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,2,Classic,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,4,Classic,Init,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.9.186,DerivO3CPU,4,MESI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,1,MI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.4.186,DerivO3CPU,4,MESI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,8,MI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,2,MESI,Init,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.4.186,DerivO3CPU,1,MI,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.9.186,DerivO3CPU,2,MESI,Init,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,1,Classic,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linux Tests,vmlinux-4.14.134,DerivO3CPU,4,Classic,Systemd,boot.Linux,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARSEC Experiments,vmlinux-4.19.83,TimingSimpleCPU,2,MESI,Systemd,parsec.streamcluster,simsmall,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEC2017 Experiments,vmlinux-4.19.83,AtomicCPU,1,Classic,Systemd,spec2017.649.fotonik3d_s,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEC2017 Experiments,vmlinux-4.19.83,AtomicCPU,1,Classic,Systemd,spec2017.997.specrand_fr,test,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPEC2017 Experiments,vmlinux-4.19.83,KVM,1,Classic,Systemd,spec2017.549.fotonik3d_r,ref,kernel panic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GAPBS Experiments,vmlinux-5.2.3,AtomicCPU,1,Classic,Systemd,gapbs.cc,3,success,10.01503682,4.82E+12,1214374588,17186400,1215619329,2.53,926620011,1.00E+12,3070758541,3074088038,0.002343,2343274713,9943198,19427,8417916,1058780,602282,1661062,6010089,1060,5872,0,184232,0
GAPBS Experiments,vmlinux-5.2.3,AtomicCPU,1,Classic,Systemd,gapbs.bc,3,success,10.01353359,4.85E+12,1391827030,17196636,1392866870,2.21,806313595,1.00E+12,3079545951,3082063384,0.001784,1784182698,8249989,33400,7121577,1040420,695029,1735449,5411107,4120,12069,0,232142,0
GAPBS Experiments,vmlinux-5.2.3,AtomicCPU,1,Classic,Systemd,gapbs.sssp,3,success,15.02037501,4.80E+12,472988205,17192544,474135243,6.48,812464917,1.00E+12,3063132736,3070627685,0.005262,5261754978,18691724,45739,16280037,2379609,1627970,4007579,12354878,2888,25433,0,372944,0
GAPBS Experiments,vmlinux-5.2.3,AtomicCPU,1,Classic,Systemd,gapbs.bfs,3,success,15.02165222,4.81E+12,971693503,17195616,972799345,3.19,800389061,1.00E+12,3098714596,3102384558,0.002553,2552559885,10472480,32236,9106564,1337527,905225,2242752,6902055,1644,15190,0,263682,0
GAPBS Experiments,vmlinux-5.2.3,AtomicCPU,1,Classic,Systemd,gapbs.pr,3,success,15.01924062,4.84E+12,937072830,17182300,938175030,3.28,804466392,1.00E+12,3071861619,3075585629,0.002637,2637266427,10793495,89103,9307984,1370696,919725,2290421,7049946,24695,39155,0,301822,0
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.cc,3,success,15.02361321,5.60E+12,791282578,17186396,792119735,3.86,958316219,1.00E+12,3052643421,3055975645,0.003697,3697172460,16748182,19475,8382078,1053507,599663,1653170,5982038,1076,5872,0,186176,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.bfs,3,success,15.01926732,5.71E+12,595609808,17206880,596312048,5.15,1263778899,1.00E+12,3070087174,3073782745,0.006514,6514365114,25218048,32699,9225980,1355348,915204,2270552,6993291,1692,15382,0,274852,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.bc,3,success,15.02359867,5.89E+12,849485737,17195612,850153922,3.62,1158016174,1.00E+12,3078759775,3081281279,0.004197,4197110022,18150341,33400,7083844,1034816,691504,1726320,5382349,4120,12069,0,237178,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.sssp,3,success,20.02987242,5.86E+12,311810871,17192540,312568236,9.88,1283625092,1.00E+12,3080274869,3087794048,0.012681,12680675964,43741693,45788,16302329,2383508,1631460,4014968,12369167,2904,25433,0,392344,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.pr,3,success,15.02257276,5.83E+12,577029754,17182300,577716149,5.34,1126701898,1.00E+12,3083061857,3086799228,0.00602,6020109531,23822111,89139,9362809,1379644,924150,2303794,7090931,24695,39179,0,302000,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.bc,3,success,25.03612804,5.62E+12,255544257,4049372,255779445,10.72,1081802685,1.00E+12,2738751644,2741304481,0.011594,11594191204,50745105,33496,7194046,1052055,702913,1754968,5462989,4152,12069,0,193187,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.cc,3,success,25.03105879,5.70E+12,264545801,4040156,264867412,10.33,717852121,1.00E+12,2732927167,2736276800,0.007416,7415956621,38092758,19523,8440783,1062985,606216,1669201,6024110,1092,5872,0,119784,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.bfs,3,success,30.04121971,5.70E+12,187416313,4049376,187668878,14.6,1048556646,1.00E+12,2737157131,2740868689,0.015314,15313993012,61613230,32283,9257703,1360848,917898,2278746,7015906,1660,15190,0,218278,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.sssp,3,success,50.06523514,5.67E+12,90170913,4046300,90419969,30.39,1023747346,1.00E+12,2740637570,2748219428,0.031116,31115736118,118990475,62842,17298908,2510552,1734795,4245347,13131946,3269,32788,0,428335,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.pr,3,success,30.04301381,5.62E+12,174462441,4035040,174702443,15.67,1191325049,1.00E+12,2733722347,2737504536,0.018668,18667518130,72300977,89201,9482458,1397482,936912,2334394,7178815,24727,39155,0,280577,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.bc,3,success,30.04221582,5.51E+12,317520887,3923888,317811634,8.55,479810733,1.00E+12,2715058256,2717582539,0.004103,4102832728,19214369,33400,7103546,1038720,693714,1732434,5395887,4120,12069,0,78100,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.bfs,3,success,35.04811215,5.60E+12,221539426,3923888,221836338,12.3,488825646,1.00E+12,2725549364,2729229171,0.006014,6013979002,24897537,32235,9151395,1344531,908772,2253303,6936074,1644,15190,0,92640,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.cc,3,success,35.04772902,5.71E+12,286996008,3913648,287342352,9.53,443379405,1.00E+12,2735492708,2738828820,0.004226,4226117320,19617618,19475,8375962,1052730,599068,1651798,5977275,1076,5872,0,58352,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.sssp,3,success,50.06342173,5.72E+12,111141012,3919796,111444437,24.73,486314613,1.00E+12,2748286176,2755802841,0.012026,12025621342,43154077,45787,16349360,2390425,1635316,4025741,12405178,2904,25433,0,133433,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.pr,3,success,30.04136109,5.64E+12,216785526,3909552,217080036,12.59,474364529,1.00E+12,2730193199,2733930813,0.005974,5974209145,24873631,89151,9327360,1373779,921009,2294788,7064692,24711,39155,0,108914,1
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,Classic,Systemd,gapbs.bc,3,success,40.04956746,5.59E+12,133653371,17213276,133762253,23,156904198,1.00E+12,3074379258,3076903729,0.003609,3609235485,14240760,0,0,0,0,0,11818404,10785,27433,0,333976,1.14
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,Classic,Systemd,gapbs.cc,3,success,40.05087686,5.61E+12,132141255,17200992,132283106,23.37,130607767,1.00E+12,3087844502,3091176813,0.003052,3052029915,12563086,0,0,0,0,0,12920393,2715,13705,0,259480,1.12
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,Classic,Systemd,gapbs.bfs,3,success,55.06683683,5.56E+12,91398123,17214300,91506573,33.81,167191099,1.00E+12,3090383910,3094063836,0.005653,5653148193,20394073,0,0,0,0,0,15239391,3798,32170,0,374430,1.21
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,Classic,Systemd,gapbs.sssp,3,success,90.11398649,5.92E+12,44776406,17210208,44885591,68.75,160602458,1.00E+12,3078523776,3086036670,0.011042,11041966647,36596005,0,0,0,0,0,26960963,6650,52859,0,515066,1.14
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,Classic,Systemd,gapbs.pr,3,success,50.06438398,5.71E+12,99258173,17196896,99378576,30.9,164078494,1.00E+12,3067425952,3071160158,0.005071,5070626298,18708254,0,0,0,0,0,15348877,51601,81504,0,396054,1.21
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MI,Systemd,gapbs.bc,3,success,55.06593251,5.45E+12,89080977,4067036,89163723,30.5,251297320,1.00E+12,2717053628,2719589234,0.007665,7664842152,32044076,0,0,0,0,0,11701514,11785,27211,0,206270,1.67
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MI,Systemd,gapbs.cc,3,success,55.07133698,5.63E+12,97452284,4054752,97570770,28.04,153216692,1.00E+12,2733031469,2736366958,0.004297,4296956409,21881160,0,0,0,0,0,12880816,3199,13546,0,128315,1.68
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MI,Systemd,gapbs.bfs,3,success,75.0995307,5.53E+12,58163072,4068060,58241479,47.02,218256374,1.00E+12,2734612690,2738306214,0.010262,10261638423,39684345,0,0,0,0,0,15095890,4068,32379,0,236251,1.67
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MI,Systemd,gapbs.sssp,3,success,115.1146345,5.38E+12,30531768,4062944,30615564,89.99,228655223,1.00E+12,2747513659,2755057893,0.020576,20576413323,70791659,0,0,0,0,0,26780346,8012,54844,0,410984,1.66
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MESI,Systemd,gapbs.bc,3,success,50.05977106,5.56E+12,117966366,3940016,118074280,23.19,98854999,1.00E+12,2735980509,2738497844,0.002293,2292746625,9578942,0,0,0,0,0,11647825,10716,26949,0,87633,1.37
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MI,Systemd,gapbs.pr,3,success,75.09196663,5.49E+12,56647961,4050656,56725050,48.71,251827726,1.00E+12,2759171375,2762933651,0.012266,12265895826,46112279,0,0,0,0,0,15365920,50393,80467,0,296043,1.67
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MESI,Systemd,gapbs.bfs,3,success,60.07285905,5.51E+12,82955089,3940016,83066906,32.76,106978045,1.00E+12,2717377654,2721050948,0.003504,3504318174,13206083,0,0,0,0,0,14928940,3714,32319,0,104662,1.37
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MESI,Systemd,gapbs.cc,3,success,50.06537056,5.43E+12,117070111,3920560,117211874,23.35,88235629,1.00E+12,2733588228,2736913752,0.00206,2060315955,8954843,0,0,0,0,0,12808205,2593,13588,0,65221,1.4
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MESI,Systemd,gapbs.pr,3,success,60.07547784,5.56E+12,81845466,3923636,81957025,33.31,97479935,1.00E+12,2726549468,2730276599,0.003247,3247401015,12478646,0,0,0,0,0,15156669,50894,80617,0,120465,1.4
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MESI,Systemd,gapbs.sssp,3,success,90.10400343,5.58E+12,42734328,3935920,42851766,63.81,107302160,1.00E+12,2726828671,2734327899,0.006847,6846844302,23278620,0,0,0,0,0,26624905,6629,52575,0,152629,1.39
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.cc,3,success,15.0166266,4.93E+12,663900484,17186396,664604019,4.63,798613507,1.00E+12,3075683910,3079019918,0.0037,3699881415,16903658,19475,8446427,1062740,604884,1667624,6031826,1076,5872,0,190850,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.bc,3,success,15.02139544,4.87E+12,757816942,17192544,758416435,4.06,1036036814,1.00E+12,3072848300,3075376698,0.004201,4201144983,18297286,33400,7129084,1042027,696273,1738300,5415414,4120,12069,0,240802,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.bfs,3,success,15.01868606,4.89E+12,547335965,17195612,547978207,5.63,1148050794,1.00E+12,3079006382,3082687893,0.006458,6458458410,24989880,33873,9154720,1345094,908526,2253620,6938569,1644,16282,0,270716,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.pr,3,success,15.02134538,4.87E+12,521938619,17182300,522561796,5.89,1023439882,1.00E+12,3075014409,3078752093,0.00603,6029769528,23819052,89151,9310918,1371481,921136,2292617,7050392,24711,39155,0,305126,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,Classic,Systemd,gapbs.sssp,3,success,25.03420496,4.88E+12,262718153,17192540,263357004,11.72,1081779827,1.00E+12,3077853368,3085373719,0.012674,12673673640,43789169,45787,16350478,2390472,1635339,4025811,12406380,2904,25433,0,387928,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.bc,3,success,25.02534389,4.66E+12,231690610,4049376,231906089,11.7,988488998,1.00E+12,2711097699,2713650275,0.011567,11566826596,50811083,33496,7228890,1056863,704743,1761606,5491115,4152,12069,0,193704,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.cc,3,success,25.03314829,4.72E+12,235972234,4040156,236260122,11.53,633029321,1.00E+12,2720351064,2723697373,0.007298,7297816546,37824715,19523,8449232,1063688,607295,1670983,6030752,1092,5872,0,118151,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.bfs,3,success,30.03784871,4.69E+12,166204686,4049376,166430290,16.36,932330009,1.00E+12,2718944113,2722658195,0.015252,15252144256,61833914,32331,9278250,1363777,920490,2284267,7030884,1676,15190,0,220972,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.cc,3,success,30.0388248,4.68E+12,252102660,3913652,252410171,10.75,392771366,1.00E+12,2710467602,2713803820,0.004223,4222913194,19585515,19475,8374835,1052607,600358,1652965,5974974,1076,5872,0,57030,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.bc,3,success,30.03506327,4.64E+12,285316023,3922864,285575857,9.58,427487087,1.00E+12,2732321250,2734842794,0.004094,4093876027,19307385,33400,7136370,1043058,697161,1740219,5420681,4120,12069,0,77530,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.pr,3,success,30.03933573,4.69E+12,207604966,3909556,207887514,13.14,454593029,1.00E+12,2727042115,2730779497,0.005971,5971475215,24901975,89151,9326870,1374028,919543,2293571,7065366,24711,39155,0,108269,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.bfs,3,success,30.03968072,4.71E+12,215758003,3923888,216046854,12.65,475361097,1.00E+12,2728419486,2732098936,0.006011,6011360290,24974466,32235,9184343,1349149,911995,2261144,6961050,1644,15190,0,92487,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.pr,3,success,35.03937745,4.70E+12,151527156,4035036,151734500,18.14,1013619542,1.00E+12,2749206540,2752989040,0.018391,18390586006,71349097,89199,9481013,1397327,936139,2333466,7178392,24727,39155,0,275393,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MI,Systemd,gapbs.sssp,3,success,50.06393504,4.66E+12,81866747,4046300,82092375,33.56,930786683,1.00E+12,2747339314,2754922072,0.031236,31236108292,109895365,45883,16462367,2407571,1647470,4055041,12487213,2936,25433,0,386016,1
GAPBS Experiments,vmlinux-5.2.3,TimingSimpleCPU,1,MESI,Systemd,gapbs.sssp,3,success,50.06213045,4.83E+12,98338197,3920820,98606960,27.93,430626650,1.00E+12,2746185390,2753702475,0.012026,12025707589,43001374,45787,16291105,2382017,1629575,4011592,12361280,2904,25433,0,131333,1
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,Classic,Systemd,gapbs.cc,3,success,45.05903721,5.86E+12,130572817,17199968,130713590,23.54,129823500,1.00E+12,3073595305,3076927648,0.003056,3055977630,12612057,0,0,0,0,0,12914891,2755,13701,0,263664,1.22
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,Classic,Systemd,gapbs.bfs,3,success,55.06579089,5.81E+12,87684951,17214300,87789748,35.01,161239673,1.00E+12,3070103817,3073783196,0.005645,5645488860,20286872,0,0,0,0,0,15114375,4234,32061,0,368426,1.18
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,Classic,Systemd,gapbs.sssp,3,success,85.08543658,5.80E+12,47282042,17210208,47397881,64.84,170190144,1.00E+12,3065545336,3073061324,0.011034,11034351603,36538327,0,0,0,0,0,26917450,6863,52763,0,510274,1.18
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,Classic,Systemd,gapbs.pr,3,success,55.07190847,5.91E+12,91291500,17197916,91402678,33.51,151907040,1.00E+12,3059063104,3062797820,0.00509,5090231673,18695129,0,0,0,0,0,15266986,51577,81466,0,394656,1.13
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MI,Systemd,gapbs.bc,3,success,55.07119012,5.55E+12,85935755,4068064,86015475,31.7,245643057,1.00E+12,2724262671,2726800874,0.007787,7787204001,32542682,0,0,0,0,0,11799150,13728,27405,0,213271,1.67
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MI,Systemd,gapbs.bfs,3,success,70.08426476,5.51E+12,60881091,4067036,60963218,44.88,229053710,1.00E+12,2732424624,2736118638,0.01028,10280270439,39969084,0,0,0,0,0,15154233,3709,32481,0,240339,1.68
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MI,Systemd,gapbs.cc,3,success,50.06549644,5.49E+12,103307044,4054748,103432365,26.48,164800283,1.00E+12,2735089284,2738424899,0.004363,4363176456,22072004,0,0,0,0,0,12850726,3005,13402,0,128248,1.67
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MI,Systemd,gapbs.pr,3,success,75.09628248,5.48E+12,54393176,4051676,54467959,50.17,244367721,1.00E+12,2728979606,2732738733,0.01226,12260297763,45781882,0,0,0,0,0,15205253,50549,80204,0,296564,1.67
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MESI,Systemd,gapbs.bfs,3,success,60.07454848,5.41E+12,83246436,3941044,83357965,32.82,106129152,1.00E+12,2732328822,2735998583,0.003483,3483402777,13083751,0,0,0,0,0,14923195,3843,31971,0,100541,1.39
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MESI,Systemd,gapbs.cc,3,success,50.06532955,5.41E+12,116596087,3926704,116737303,23.46,88368433,1.00E+12,2735420354,2738749293,0.002073,2073194730,8957487,0,0,0,0,0,12804026,2672,13476,0,64306,1.4
GAPBS Experiments,vmlinux-5.2.3,DerivO3CPU,1,MESI,Systemd,gapbs.sssp,3,success,95.11139679,5.40E+12,40744227,3935920,40855782,67.18,101903056,1.00E+12,2737081046,2744580528,0.006846,6845572575,23281360,0,0,0,0,0,26656904,6642,52559,0,151606,1.38
